iter	Passed	Remaining
418	3507	677
419	3513	669
420	3522	660
421	3528	652
422	3538	644
423	3546	635
424	3557	627
425	3565	619
426	3572	610
427	3579	602
428	3587	593
429	3593	585
430	3602	576
431	3611	568
432	3619	560
433	3626	551
434	3635	543
435	3643	534
436	3651	526
437	3658	517
438	3667	509
439	3673	500
440	3682	492
441	3689	484
442	3697	475
443	3703	467
444	3711	458
445	3718	450
446	3724	441
447	3733	433
448	3739	424
449	3749	416
450	3757	408
451	3765	399
452	3771	391
453	3780	383
454	3786	374
455	3795	366
456	3802	357
457	3809	349
458	3816	340
459	3823	332
460	3830	324
461	3837	315
462	3846	307
463	3854	299
464	3862	290
465	3869	282
466	3877	274
467	3884	265
468	3892	257
469	3898	248
470	3906	240
471	3913	232
472	3920	223
473	3927	215
474	3933	207
475	3943	198
476	3950	190
477	3959	182
478	3965	173
479	3974	165
480	3980	157
481	3988	148
482	3994	140
483	4002	132
484	4009	124
485	4018	115
486	4025	107
487	4031	99
488	4040	90
489	4047	82
490	4056	74
491	4064	66
492	4072	57
493	4079	49
494	4088	41
495	4094	33
496	4103	24
497	4110	16
498	4118	8
499	4124	0
